ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
14,001,0000,140010000003,2,14-001-0000-05,00001,4,01,14001000000301,01,1,1,27,06,2019,0101,014,221,3,10,2019,0301,1,03,2
14,001,0000,140010000003,2,14-001-0000-05,00001,4,01,14001000000302,02,1,1,18,05,2019,0101,014,221,3,10,2019,0301,1,04,2
14,001,0000,140010000007,2,14-001-0000-05,00002,4,01,14001000000701,01,1,3,999,99,9999,9999,999,999,9,,,,,,2
14,001,0000,140010000012,2,14-001-0000-05,00002,4,01,14001000001201,01,1,1,48,04,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000015,2,14-001-0000-05,00003,4,01,14001000001501,01,1,1,18,02,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000016,2,14-001-0000-05,00003,4,01,14001000001601,01,1,1,30,06,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000022,2,14-001-0000-05,00003,4,01,14001000002201,02,1,3,51,05,2019,0301,014,221,1,,,,,,2
14,001,0000,140010000022,2,14-001-0000-05,00003,4,01,14001000002202,03,1,3,17,05,2019,0301,014,221,1,,,,,,2
14,001,0000,140010000022,2,14-001-0000-05,00003,4,01,14001000002203,04,1,1,16,05,2019,0301,014,221,1,,,,,,2
14,001,0000,140010000022,2,14-001-0000-05,00003,4,01,14001000002204,05,1,3,8,05,2019,0301,014,221,1,,,,,,2
14,001,0000,140010000022,2,14-001-0000-05,00003,4,01,14001000002205,01,1,1,53,05,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000023,2,14-001-0000-05,00003,4,01,14001000002301,01,1,3,20,01,2019,0401,014,221,1,,,,,,2
14,001,0000,140010000035,2,14-001-0000-05,00005,4,01,14001000003501,01,1,1,21,06,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000036,2,14-001-0000-05,00005,4,01,14001000003601,01,1,1,27,06,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000039,2,14-001-0000-05,00006,4,01,14001000003901,01,1,1,20,04,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000061,2,14-001-0000-05,00010,4,01,14001000006101,01,1,1,16,03,2019,0501,014,221,1,,,,,,2
14,001,0000,140010000062,2,14-001-0000-05,00010,4,01,14001000006201,01,1,1,26,03,2017,0101,014,213,2,,,,,,2
14,001,0000,140010000072,2,14-001-0000-05,00010,4,01,14001000007201,01,1,1,42,06,2015,0101,014,221,1,,,,,,2
14,001,0000,140010000083,2,14-001-0000-05,00013,4,01,14001000008301,01,1,1,61,02,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000091,2,14-001-0000-05,00016,4,01,14001000009101,01,1,1,40,08,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000150,2,14-001-0000-05,00019,3,01,14001000015001,02,1,1,33,10,2015,0101,014,221,1,,,,,,2
14,001,0000,140010000150,2,14-001-0000-05,00019,3,01,14001000015002,01,1,3,35,10,2015,0101,014,221,1,,,,,,2
14,001,0000,140010000236,2,14-001-0000-05,00024,4,01,14001000023601,01,1,3,25,08,2017,0101,014,221,1,,,,,,2
14,001,0000,140010000249,2,14-001-0000-05,00026,4,01,14001000024901,01,1,1,20,08,2019,0101,014,213,2,,,,,,2
14,001,0000,140010000255,2,14-001-0000-05,00026,4,01,14001000025501,01,1,1,36,09,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000261,2,14-001-0000-05,00028,4,01,14001000026101,01,1,1,19,03,2020,0101,014,221,1,,,,,,2
14,001,0000,140010000265,2,14-001-0000-05,00030,4,01,14001000026501,01,1,1,26,01,2016,0101,014,221,3,12,2019,0101,1,03,2
14,001,0000,140010000287,2,14-001-0000-05,00031,4,01,14001000028701,01,1,3,25,11,2015,0601,014,213,2,,,,,,2
14,001,0000,140010000287,2,14-001-0000-05,00031,4,01,14001000028702,02,1,3,21,03,2016,0401,014,221,1,,,,,,2
14,001,0000,140010000298,2,14-001-0000-05,00032,3,01,14001000029801,01,1,1,24,05,2019,0101,014,221,3,12,2019,0301,1,03,2
14,001,0000,140010000310,2,14-001-0000-05,00033,3,01,14001000031001,01,1,3,17,08,2019,0301,014,221,1,,,,,,2
14,001,0000,140010000312,2,14-001-0000-05,00033,3,01,14001000031201,01,1,1,23,99,9999,9999,999,999,9,,,,,,2
14,001,0000,140010000315,2,14-001-0000-05,00033,3,01,14001000031501,01,1,1,30,02,2020,0101,014,221,1,,,,,,2
14,001,0000,140010000348,2,14-001-0000-05,00036,4,01,14001000034801,01,1,3,30,09,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000362,2,14-001-0000-05,00036,4,01,14001000036201,01,1,1,46,02,2020,0101,014,221,1,,,,,,2
14,001,0000,140010000373,2,14-001-0000-05,00036,4,01,14001000037301,01,1,1,16,10,2017,0501,014,221,1,,,,,,2
14,001,0000,140010000378,2,14-001-0000-05,00036,4,01,14001000037801,01,1,1,23,11,2017,0101,014,221,1,,,,,,2
14,001,0000,140010000399,2,14-001-0000-05,00036,4,01,14001000039901,01,1,3,25,02,2019,0401,014,221,1,,,,,,2
